Location,SiteID,Column1,street_number,street,city,state,zipcode,Current lat,Current long,Model,AP Serial,CM MAC,AP MAC,CM Serial,Notes
Peddlers Village,OUT1513,PDLR012,40,Peddlers Village,New Hope,PA,18938,40.347854,-75.031472,T310S,171903003477,n/a,1c:3a:60:10:d6:00,n/a,directional AP powered from COM910025
Peddlers Village,BIG4406,PDLR008,0,Street Rd,New Hope,PA,18938,40.34828,-75.031818,T310S,171903003498,n/a,1c:3a:60:10:d7:50,n/a,directional AP powered from OUT1514
Fishtown,OUT1509,,1359,Frankford ave,Philadelphia,PA,19125,39.9717455,-75.1343729,T811-CM,261903001025,24792A0D1DD9,54:ec:2f:1b:61:d0,231969000147,
Peddlers Village,BIG4407,PDLR001,0,York Rd,New Hope,PA,18938,40.347419,-75.034362,T811-CM,261903001032,24792A0D1DD3,54:ec:2f:1b:62:40,231969000142,
Fishtown,OUT1507,,1307,North Lee Street,Philadelphia,PA,19125,39.97052,-75.1350171,T811-CM,261903001440,24792A0D1D14,54:ec:2f:1b:7b:c0,221969000256,
Peddlers Village,OUT1519,PDLR033,5828,US-202,New Hope,PA,18938,40.34652,-75.03222,T811-CM,261903001454,24792A0D1DB8,54:ec:2f:1b:7c:a0,231969000114,device swapped on 1/31/20.
Fishtown,OUT1511,,1205,Frankford ave,Philadelphia,PA,19125,39.9692508,-75.134354,T811-CM,261903001469,24792A0D1DFD,54:ec:2f:1b:7d:90,231969000183,
Peddlers Village,OUT1520,PDLR030,42,Peddlers Village,Lahaska,PA,18931,40.3474305,-75.0318,T811-CM,261903001483,24792A0D1DA7,54:ec:2f:1b:7e:70,231969000097,
Fishtown,OUT1506,,15,Girard St,Philadelphia,PA,19123,39.9687718,-75.1350171,T811-CM,261903001484,24792A0D1DEB,54:ec:2f:1b:7e:80,231969000165,
Peddlers Village,COM910025,PDLR011,0,Street Rd,New Hope,PA,18938,40.34782,-75.030947,T811-CM,261903001714,24792A0D1DF2,54:ec:2f:1b:8c:e0,231969000173,
Peddlers Village,COM910027,PDLR023,5806,Rt. 202 / Lower York Rd,New Hope,PA,18938,40.346321,-75.033104,T811-CM,261903001716,24792A0D1DBE,54:ec:2f:1b:8d:00,231969000118,
Peddlers Village,BIG4405,PDLR015,0,Street Rd,New Hope,PA,18938,40.347111,-75.029809,T811-CM,261903001717,24792A0D1DE2,54:ec:2f:1b:8d:10,231969000156,
Peddlers Village,OUT1518,PDLR027,5871,US-202,New Hope,PA,18938,40.34690,-75.03068,T811-CM,261903001720,24792A0D1DCD,54:ec:2f:1b:8d:40,231969000135,
Fishtown,OUT1512,,12,Columbia ave,Philadelphia,PA,19125,39.9744956,-75.1334639,T811-CM,261903001721,24792A0D1DCC,54:ec:2f:1b:8d:50,231969000134,
Fishtown,OUT1510,,1401,Frankford Avenue,Philadelphia,PA,19125,39.9725283,-75.1341963,T811-CM,261903001729,24792A0D1C1F,54:ec:2f:1b:8d:d0,221969000021,
Fishtown,OUT1510new,,1401,Frankford Avenue,Philadelphia,PA,19125,39.9725283,-75.1341963,T811-CM,261903001729 ,24792A0D1C1F,54:ec:2f:1b:8d:d0,221969000021,
Fishtown,OUT1508,,1101,Frankford Avenue,Philadelphia,PA,19125,39.9683986,-75.1343611,T811-CM,271903000179,24792A0D1DB1,54:ec:2f:1b:a7:90,231969000107,
Peddlers Village,OUT1517,PDLR025,2400,street rd ,New Hope,PA,18938,40.34747,-75.03036,T811-CM,271903000183,24792A0D1D4F,54:ec:2f:1b:a7:d0,231969000009,
Peddlers Village,OUT1514,PDLR007,2491,Street Road,New Hope,PA,18938,40.348614,-75.032347,T811-CM,271903000393,24792A0D1C89,54:ec:2f:1b:b4:f0,221969000112,
Peddlers Village,BIG4408,PDLR019,0,Lower York York Rd,New Hope,PA,18938,40.346678,-75.031508,T811-CM,271903000397,24792A0D1D28,54:ec:2f:1b:b5:30,221969000276,
Peddlers Village,COM910024,PDLR029,0,Peddlers Lane,New Hope,PA,18938,40.347145,-75.032135,T811-CM,271903000407,24792A0D1D2F,54:ec:2f:1b:b5:d0,221969000284,
Peddlers Village,OUT1516,PDLR009,1,HWY 263,Doylestown,PA,18902,40.34834,-75.03309,T811-CM,271903000438,24792A0D1D6C,54:ec:2f:1b:b7:c0,231969000038,
Peddlers Village,COM910026,PDLR003,0,York Rd,New Hope,PA,18938,40.347907,-75.033717,T811-CM,271903000462,24792A0D1DE4,54:ec:2f:1b:b9:40,231969000159,
Peddlers Village,COM910028,PDLR031,0,Lower York Rd,New Hope,PA,18938,40.345989,-75.034828,T811-CM,271903000466,24792A0D1DCE,54:ec:2f:1b:b9:80,231969000137,
Peddlers Village,OUT1515,,64,Peddlers Village,Lahaska,PA,18931,40.347314,-75.032092,,DECOMMISSIONED DUE TO CLOSE PROXIMITY,,,,
,,,,,,,,,,,,,,,
